"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATAMOTORS","EQ","14-May-2025","707.70","690.00","708.00","686.00","700.20","698.95","696.53","3,15,05,402","21,94,45,72,654.50","5,29,955","98,76,895","31.35"
"TATAMOTORS","EQ","15-May-2025","698.95","698.75","729.80","696.15","729.00","728.10","718.09","2,86,34,074","20,56,18,02,513.75","3,68,702","72,52,345","25.33"
"TATAMOTORS","EQ","16-May-2025","728.10","730.00","742.00","725.55","731.10","730.70","733.15","2,06,31,512","15,12,60,18,409.45","3,01,374","75,06,217","36.38"
"TATAMOTORS","EQ","19-May-2025","730.70","732.00","738.10","728.00","728.70","729.50","733.16","1,04,60,217","7,66,89,71,582.95","1,89,525","40,02,358","38.26"
"TATAMOTORS","EQ","20-May-2025","729.50","730.00","737.75","717.00","720.70","718.90","726.33","1,44,72,506","10,51,18,04,020.40","2,23,690","62,89,756","43.46"
"TATAMOTORS","EQ","21-May-2025","718.90","719.00","729.50","718.00","726.25","726.80","725.35","89,98,596","6,52,71,26,522.45","1,45,016","26,36,246","29.30"
"TATAMOTORS","EQ","22-May-2025","726.80","725.00","725.00","710.65","718.50","717.45","716.57","1,00,46,820","7,19,92,24,435.35","1,78,556","39,67,341","39.49"
"TATAMOTORS","EQ","23-May-2025","717.45","718.75","721.80","715.00","718.00","718.25","719.01","79,15,166","5,69,10,49,306.85","1,14,102","36,42,135","46.01"
"TATAMOTORS","EQ","26-May-2025","718.25","722.00","738.00","721.20","729.20","729.00","731.82","1,30,17,400","9,52,64,31,160.15","1,74,194","44,80,805","34.42"
"TATAMOTORS","EQ","27-May-2025","729.00","729.00","729.35","715.20","717.00","716.45","719.68","1,22,23,125","8,79,67,82,486.15","2,13,762","51,86,592","42.43"
"TATAMOTORS","EQ","28-May-2025","716.45","720.00","722.00","716.20","717.25","717.95","719.01","75,68,961","5,44,21,27,705.70","1,17,049","32,73,428","43.25"
"TATAMOTORS","EQ","29-May-2025","717.95","724.50","728.70","720.00","725.45","724.45","723.93","88,38,921","6,39,87,30,595.85","1,36,523","33,32,134","37.70"
"TATAMOTORS","EQ","30-May-2025","724.45","724.45","728.55","712.50","718.65","719.50","718.99","1,45,33,919","10,44,97,31,838.45","1,70,723","75,25,005","51.78"
"TATAMOTORS","EQ","02-Jun-2025","719.50","717.00","719.00","707.40","711.55","711.60","712.42","97,12,446","6,91,93,69,538.35","1,78,127","40,39,250","41.59"
"TATAMOTORS","EQ","03-Jun-2025","711.60","715.00","718.35","702.30","704.30","703.85","708.08","91,61,608","6,48,71,96,518.30","2,08,760","37,31,124","40.73"
"TATAMOTORS","EQ","04-Jun-2025","703.85","701.80","715.45","698.40","710.25","709.15","708.91","1,12,87,991","8,00,22,10,218.05","2,77,497","42,38,303","37.55"
"TATAMOTORS","EQ","05-Jun-2025","709.15","712.80","714.45","704.00","710.10","710.15","709.00","1,02,03,331","7,23,41,25,107.05","1,52,774","44,44,785","43.56"
"TATAMOTORS","EQ","06-Jun-2025","710.15","710.00","715.90","701.20","711.60","711.00","709.28","1,19,75,812","8,49,42,37,171.55","1,79,459","44,63,957","37.27"
"TATAMOTORS","EQ","09-Jun-2025","711.00","715.00","726.00","713.10","717.50","717.80","719.66","99,00,412","7,12,49,12,015.55","1,68,982","37,32,667","37.70"
"TATAMOTORS","EQ","10-Jun-2025","717.80","721.00","734.75","715.35","732.70","732.25","728.46","1,91,51,889","13,95,14,59,993.95","3,23,576","87,69,533","45.79"
"TATAMOTORS","EQ","11-Jun-2025","732.25","734.95","744.00","730.15","734.60","736.40","736.81","1,26,26,754","9,30,34,82,617.45","1,82,039","48,14,790","38.13"
"TATAMOTORS","EQ","12-Jun-2025","736.40","737.00","737.70","711.25","714.45","715.35","720.95","1,25,85,149","9,07,32,12,399.65","2,80,340","54,95,519","43.67"
"TATAMOTORS","EQ","13-Jun-2025","715.35","700.00","714.95","698.30","713.75","712.05","706.23","1,05,16,625","7,42,71,49,317.65","1,88,783","40,33,927","38.36"
"TATAMOTORS","EQ","16-Jun-2025","712.05","711.00","714.00","672.95","685.30","686.65","684.41","3,12,46,328","21,38,54,21,671.70","5,61,236","1,15,27,243","36.89"
"TATAMOTORS","EQ","17-Jun-2025","686.65","686.10","686.15","672.00","673.00","674.75","678.59","1,71,12,867","11,61,26,29,681.05","2,94,632","78,36,229","45.79"
"TATAMOTORS","EQ","18-Jun-2025","674.75","671.85","679.35","668.00","669.95","670.25","673.25","1,25,56,088","8,45,33,35,444.80","2,12,789","58,03,650","46.22"
"TATAMOTORS","EQ","19-Jun-2025","670.25","670.25","676.30","666.65","671.40","672.30","671.47","1,08,95,470","7,31,60,22,953.85","1,60,073","42,33,810","38.86"
"TATAMOTORS","EQ","20-Jun-2025","672.30","673.40","678.80","670.10","675.50","676.20","675.55","1,13,93,470","7,69,69,00,034.40","1,44,733","60,36,457","52.98"
"TATAMOTORS","EQ","23-Jun-2025","676.20","670.00","676.00","666.10","671.80","671.25","671.20","1,02,65,601","6,89,02,58,117.50","1,66,647","50,96,082","49.64"
"TATAMOTORS","EQ","24-Jun-2025","671.25","678.00","686.50","672.00","674.30","673.65","679.17","1,53,59,947","10,43,20,48,374.05","2,00,973","77,45,677","50.43"
"TATAMOTORS","EQ","25-Jun-2025","673.65","676.00","679.00","673.45","674.45","674.50","675.55","1,04,56,015","7,06,35,29,756.00","1,56,656","55,75,483","53.32"
"TATAMOTORS","EQ","26-Jun-2025","674.50","677.00","683.70","674.45","682.70","682.75","679.67","1,01,04,914","6,86,80,08,862.65","1,44,959","45,03,526","44.57"
"TATAMOTORS","EQ","27-Jun-2025","682.75","685.00","691.45","683.00","687.50","686.90","688.13","71,98,028","4,95,31,96,881.35","1,21,849","32,67,030","45.39"
"TATAMOTORS","EQ","30-Jun-2025","686.90","688.90","691.90","685.00","688.30","688.00","688.54","69,60,104","4,79,22,76,598.55","1,50,466","30,05,435","43.18"
"TATAMOTORS","EQ","01-Jul-2025","688.00","691.10","693.85","680.40","683.80","683.80","686.00","68,66,073","4,71,01,14,007.55","1,31,017","25,29,338","36.84"
